pl_name,pl_orbsmax,pl_orbeccen,st_dist,pl_eqt,pl_masse,pl_rade,st_metfe
HD 133131 A c,4.49,0.49,47,,,,-0.306
HD 133131 B b,6.15,0.61,47,,,,-0.281
HD 134060 b,0.0444,0.45,24.2,,,,0.14
HD 134060 c,2.3928,0.11,24.2,,,,0.14
HD 134987 b,0.81,0.23,26.2,,,,0.28
HD 134987 c,5.8,0.12,26.2,,,,0.28
HD 136352 b,0.0934,0.14,14.81,,,,-0.34
HD 136352 c,0.1666,0.04,14.81,,,,-0.34
HD 136352 d,0.4128,0.09,14.81,,,,-0.34
HD 136418 b,1.29,0.25,105.49,,,,-0.11
HD 13724 b,12.4,0.34,43.52,,,,0.23
HD 137388 b,0.89,0.36,40.53,,,,0.19
HD 13908 b,0.154,0.02,79.73,,,,0.01
HD 13908 c,2.03,0.12,79.73,,,,0.01
HD 13931 b,5.15,0.02,47.46,,,,0.05
HD 139357 b,2.36,0.1,112.45,,,,-0.13
HD 1397 b,0.1097,0.251,79.75,1228,131.89945,11.5,0.29
HD 14067 b,3.4,0.533,142.6,,,,-0.1
HD 141399 b,0.415,0.04,36.2,,,,0.35
HD 141399 c,0.689,0.048,36.2,,,,0.35
HD 141399 d,2.09,0.074,36.2,,,,0.35
HD 141399 e,5,0.26,36.2,,,,0.35
HD 141937 b,1.5,0.41,33.39,,,,0.11
HD 142 b,1.02,0.17,26.21,,,,0.09
HD 142 c,6.8,0.21,26.21,,,,0.09
HD 142022 A b,2.93,0.53,34.31,,,,0.19
HD 142245 b,2.78,0,97.5,,,,0.17
HD 142415 b,1.06,0.5,35.57,,,,0.13
HD 143105 b,0.0379,0.07,48.7,,,,0.15
HD 143361 b,1.988,0.197,68.65,,,,0.14
HD 145377 b,0.45,0.31,53.57,,,,0.11
HD 145457 b,0.76,0.11,135.82,,,,-0.25
HD 145934 b,4.6,0.053,229.35,,,,
HD 1461 b,0.0634,0.172,23.47,,,,0.19
HD 1461 c,0.1117,0.305,23.47,,,,0.19
HD 147018 b,0.2388,0.4686,42.96,,,,0.1
HD 147018 c,1.922,0.133,42.96,,,,0.1
HD 147379 b,0.323,0.07,10.77,,,,0.19
HD 147513 b,1.32,0.26,12.91,,,,0.06
HD 14787 b,1.7,0.155,119.54,,,,
HD 147873 b,0.522,0.207,109.38,,,,0.03
HD 147873 c,1.36,0.23,109.38,,,,0.03
HD 148156 b,2.45,0.52,57.22,,,,0.29
HD 148164 b,0.993,0.587,77.37,,,,0.24
HD 148164 c,6.15,0.125,77.37,,,,0.24
HD 148284 b,0.974,0.38926,121.61,,,,0.16
HD 148427 b,1.04,0.16,71.5,,,,0.08
HD 149026 b,,0,76.03,,120.7754,8.295,0.32
HD 149143 b,0.053,0.0167,73.43,,,,0.29
HD 1502 b,1.262,0.031,191.96,,,,
HD 150706 b,6.7,0.38,28.29,,,,-0.01
HD 152079 b,4.187,0.532,88.11,,,,0.29
HD 152581 b,1.66,0.04,166.54,,,,
HD 15337 b,0.0522,0.09,44.87,1001,7.51,1.64,0.15
HD 15337 c,0.1268,0.05,44.87,642,8.11,2.39,0.15
HD 153950 b,1.28,0.34,48.52,,,,-0.01
HD 154345 b,4.21,0.04,18.29,,,,-0.11
HD 154672 b,0.6,0.61,63.16,,,,0.25
HD 154857 b,1.29,0.46,63.56,,,,-0.22
HD 154857 c,5.36,0.06,63.56,,,,-0.22
HD 155233 b,2,0.04,75.13,,,,0.08
HD 155358 b,0.63,0.17,43.67,,,,-0.6
HD 155358 c,1.02,0.16,43.67,,,,-0.6
HD 156279 b,0.49,0.71,36.23,,,,0.14
HD 156279 c,,0.231,36.23,,,,0.14
HD 156411 b,1.88,0.22,56.96,,,,-0.12
HD 156668 b,0.05,0,24.35,,,,0.05
HD 156846 b,1.12,0.85,47.8,,,,0.15
HD 158038 b,1.5,0.29,95.12,,,,0.19
HD 158259 b,,,27.07,,,,
HD 158259 c,,,27.07,,,,
HD 158259 d,,,27.07,,,,
HD 158259 e,,,27.07,,,,
HD 158259 f,,,27.07,,,,
HD 158996 b,2.1,0.13,285.91,,,,-0.2
HD 159243 b,0.11,0.02,73.46,,,,0.05
HD 159243 c,0.8,0.075,73.46,,,,0.05
HD 159868 b,2.32,0.024,55.94,,,,
HD 159868 c,1.032,0.184,55.94,,,,
HD 1605 b,1.492,0.095,89.03,,,,0.22
HD 1605 c,3.584,0.099,89.03,,,,0.22
HD 160691 b,1.497,0.128,15.61,,,,
HD 160691 c,5.235,0.0985,15.61,,,,
HD 160691 d,0.09094,0.172,15.61,,,,
HD 160691 e,0.921,0.0666,15.61,,,,
HD 16141 b,0.36,0.25,37.83,,,,0.13
HD 16175 b,2.12,0.6,59.96,,,,0.3
HD 162020 b,0.08,0.28,30.85,,,,-0.1
HD 163607 b,0.362,0.7441,67.92,,,,
HD 163607 c,2.39,0.08,67.92,,,,
HD 16417 b,0.14,0.2,25.41,,,,0.06
HD 164509 b,0.87,0.238,53.19,,,,0.2
HD 164595 b,0.23,0.088,28.28,,,,-0.04
HD 164604 b,1.331,0.35,39.41,,,,
HD 164922 b,2.1,0.05,22.02,,,,0.17
HD 164922 c,0.3351,0.22,22.02,401,,,0.17
HD 165155 b,1.13,0.2,63.47,,,,0.09
HD 1666 b,0.94,0.63,118.31,,,,0.37
HD 166724 b,5.42,0.734,45.19,,,,-0.09
HD 167042 b,1.32,0.089,49.73,,,,0
HD 168443 b,0.2931,0.52883,39.67,,,,0.04
HD 168443 c,2.8373,0.2113,39.67,,,,0.04
HD 168746 b,0.07,0.11,41.62,,,,-0.08
HD 1690 b,1.36,0.64,769.37,,,,-0.27
HD 169830 b,0.81,0.31,37.64,,,,0.21
HD 169830 c,3.6,0.33,37.64,,,,0.21
HD 170469 b,2.24,0.11,60.28,,,,0.29
HD 17092 b,1.31,0.17,229.89,,,,0.18
HD 171028 b,1.32,0.59,112.01,,,,-0.48
HD 171238 b,2.57,0.234,44.87,,,,0.2
HD 17156 b,,0.68,78.26,,1115.5833,12.33,0.19
HD 173416 b,1.16,0.21,132.68,,,,-0.22
HD 175167 b,2.4,0.54,71.23,,,,0.28
HD 175541 b,0.975,0.11,130.08,,,,
HD 175607 b,,0.11,40.38,,,,-0.62
HD 17674 b,1.42,0.13,44.48,,,,-0.16
HD 176986 b,0.06296,0.066,27.81,,,,0.03
HD 176986 c,0.11878,0.111,27.81,,,,0.03
HD 177565 b,0.246,0.0593,16.93,,,,
HD 177830 b,1.14,0.1,62.88,,,,0.42
HD 177830 c,0.5137,0.3,62.88,,,,0.42
HD 178911 B b,0.34,0.11,41.02,,,,0.24
HD 179079 b,0.1214,0.049,69.85,,,,0.24
HD 179949 b,0.0443,0.022,27.48,,,,0.137
HD 180053 b,0.843,0.081,137.59,,,,
HD 18015 b,3.87,0.148,124.24,,,,
HD 180314 b,1.46,0.26,122.79,,,,0.14
HD 180617 b,0.3357,0.16,5.91,,,,0
HD 180902 b,1.4,0.107,104.89,,,,
HD 181234 b,7.52,0.73,47.81,,,,0.32
HD 181342 b,1.592,0.022,120.81,,,,
HD 181433 b,0.08,0.4,26.9,,,,0.38
HD 181433 c,1.76,0.28,26.9,,,,0.38
HD 181433 d,3,0.48,26.9,,,,0.38
HD 181720 b,1.85,0.26,60.31,,,,-0.62
HD 183263 b,1.49,0.36,54.28,,,,0.29
HD 183263 c,4.35,0.239,54.28,,,,0.29
HD 185269 b,0.077,0.229,52.07,,,,
HD 187085 b,2.1,0.251,45.96,,,,0.12
HD 187123 b,0.0426,0.0103,46.02,,,,0.16
HD 187123 c,4.89,0.252,46.02,,,,0.16
HD 18742 b,1.82,0.04,163.37,,,,
HD 188015 b,1.203,0.137,50.74,,,,0.289
HD 189733 b,,0,19.78,,359.1479,12.666,-0.02
HD 190360 b,3.97,0.31,16.01,,,,0.24
HD 190360 c,0.1304,0.237,16.01,,,,0.24
HD 190647 b,2.231,0.224,54.56,,,,0.23
HD 190984 b,5.5,0.57,148.81,,,,-0.48
HD 191806 b,2.8,0.259,65.79,,,,0.3
HD 192263 b,0.15,0.05,19.65,,,,0.03
HD 192310 b,0.32,0.13,8.8,355,,,-0.04
HD 192310 c,1.18,0.32,8.8,185,,,-0.04
HD 192699 b,1.063,0.082,72.01,,,,
HD 195019 b,0.14,0.01,37.71,,,,0.05
HD 196050 b,2.51,0.23,50.75,,,,0.21
HD 196067 b,5.02,0.66,39.98,,,,0.18
HD 196885 A b,2.37,0.48,34.2,,,,0.22
HD 197037 b,2.07,0.22,33,,,,-0.2
HD 19994 b,1.305,0.063,22.54,,,,0.27
HD 20003 b,0.0974,0.36,43.8,,,,0.04
HD 20003 c,0.1964,0.1,43.8,,,,0.04
HD 200964 b,1.565,0.087,72.74,,,,
HD 200964 c,1.96,0.243,72.74,,,,
HD 202206 c,2.41,0.22,46.03,,5689.157,,0.34
HD 202696 b,1.566,0.011,189.56,,634.38868,,0.02
HD 202696 c,2.342,0.028,189.56,,592.43512,,0.02
HD 202772 A b,0.05208,0.038,147.2,2132,323.23311,17.318,0.3
HD 203030 b,487.1,,39.29,1206,7656.097,,
HD 203473 b,2.73,0.289,72.79,,,,0.19
HD 2039 b,2.2,0.71,85.9,,,,0.3
HD 204313 b,3.07,0.23,47.86,,,,0.16
HD 204313 c,0.2099,0.155,47.86,,,,0.16
HD 204941 b,2.55,0.37,28.74,,,,-0.19
HD 205739 b,0.896,0.27,92.74,,,,0.19
HD 206255 b,0.461,0.23,75.4,,,,
HD 206610 b,1.74,0.1,147.78,,,,
HD 20781 b,0.0529,0.1,35.37,,,,-0.11
HD 20781 c,0.1004,0.09,35.37,,,,-0.11
HD 20781 d,0.1647,0.11,35.37,,,,-0.11
HD 20781 e,0.3374,0.06,35.37,,,,-0.11
HD 20782 b,1.3649,0.95,36.02,,,,-0.06
HD 207832 b,0.586,0.197,59.03,,,,0.14
HD 207832 c,2.112,0.27,59.03,,,,0.14
HD 20794 b,0.1207,0,6,660,,,-0.4
HD 20794 c,0.2036,0,6,508,,,-0.4
HD 20794 d,0.3499,0,6,388,,,-0.4
HD 20794 e,0.509,0.29,6,,,,-0.4
HD 208487 b,0.524,0.24,44,,,,0.022
HD 208527 b,2.1,0.08,314.48,,,,-0.09
HD 20868 b,0.95,0.75,47.79,,,,0.05
HD 208897 b,1.05,0.07,64.68,,,,0.21
HD 209458 b,,0,48.37,,232.0159,15.581,0.01
HD 210193 b,1.487,0.24,42.25,,,,
HD 210277 b,1.13,0.48,21.31,,,,0.22
HD 210702 b,1.148,0.028,54.28,,,,
HD 211810 b,2.656,0.68,64.76,,,,0.17
HD 211970 b,0.143,0.15,13,,,,
HD 212301 b,0.03,0,54.32,,,,0.18
HD 212771 b,1.19,0.076,111.51,,,,
HD 213240 b,1.89,0.42,40.92,,,,0.15
HD 213885 b,0.02012,0,47.97,2128,8.83,1.745,-0.04
HD 213885 c,0.056798,0,47.97,1265,,,-0.04
HD 21411 b,0.362,0.4,29.16,,,,
HD 214823 b,3.23,0.1641,101.66,,,,0.14
HD 215152 b,0.057638,0,21.61,,,,-0.1
HD 215152 c,0.067393,0,21.61,,,,-0.1
HD 215152 d,0.08799,0,21.61,,,,-0.1
HD 215152 e,0.15417,0,21.61,,,,-0.1
HD 215497 b,0.05,0.16,40.59,,,,0.2
HD 215497 c,1.282,0.49,40.59,,,,0.2
HD 216435 b,2.56,0.07,33.01,,,,0.244
HD 216437 b,2.497,0.317,26.71,,,,0.2
HD 216536 b,0.61,0.38,380.33,,,,-0.17
HD 216770 b,0.46,0.37,36.7,,,,0.27
HD 21693 b,0.1455,0.12,32.38,,,,0
HD 21693 c,0.2586,0.07,32.38,,,,0
HD 217107 b,0.08,0.13,20.07,,,,0.36
HD 217107 c,5.32,0.517,20.07,,,,0.36
HD 21749 c,0.0695,,16.33,701,3.7,0.892,0.003
HD 217786 b,2.38,0.4,54.8,,,,-0.135
HD 217850 b,4.56,0.7621,65.9,,,,0.26
HD 218566 b,0.69,0.3,28.85,,,,0.28
HD 219077 b,6.22,0.77,29.21,,,,-0.13
HD 219134 b,0.03876,0,6.53,1015,4.74,1.602,0.11
HD 219134 c,0.0653,0.062,6.53,782,4.36,1.511,0.11
HD 219134 d,0.237,0.138,6.53,411,16.17,1.61,0.11
HD 219134 f,0.1463,0.148,6.53,523,7.3,1.31,0.11
HD 219134 g,0.3753,0,6.53,,,,0.11
HD 219134 h,3.11,0.06,6.53,,,,0.11
HD 219415 b,3.2,0.4,165.97,,,,-0.04
HD 219666 b,0.06356,0,94.43,1073,16.6,4.71,0.04
HD 219828 b,0.0507,0.101,73.27,,,,0.18
HD 219828 c,5.79,0.8102,73.27,,,,0.18
HD 220074 b,1.6,0.14,327.41,,,,-0.25
HD 220197 b,2.729,0.187,64.53,,,,-0.55
HD 220689 b,3.396,0.054,46.94,,,,-0.07
HD 220773 b,4.94,0.51,49,,,,0.09
HD 220842 b,0.74,0.404,62.5,,,,-0.17
HD 221287 b,1.25,0.08,56.01,,,,-0.03
HD 221416 b,0.1228,0.115,95.08,,60.5,9.17,-0.08
HD 221420 b,18.5,0.42,31.17,,,,0.29
HD 221585 b,2.306,0.123,55.94,,,,0.29
HD 222076 b,1.83,0.08,91.39,,,,0.05
HD 222155 b,5.14,0.16,50.68,,,,-0.18
HD 222582 b,1.34,0.73,42.21,,,,0.01
HD 224538 b,2.28,0.464,79.24,,,,0.27
HD 224693 b,0.191,0.104,93.75,,,,0.27
HD 22781 b,1.167,0.8191,32.63,,,,-0.37
HD 23079 b,1.6,0.1,33.49,,,,-0.13
HD 23127 b,2.37,0.406,94.11,,,,0.29
HD 231701 b,0.567,0.13,109.22,,,,0.05
HD 233604 b,0.747,0.05,868.63,,,,-0.36
HD 233832 b,2.827,0.359,58.84,,,,-0.66
HD 23472 b,0.121,0,39.08,,17.92,,
HD 23472 c,0.17,0,39.08,,17.18,,
HD 23596 b,2.77,0.27,52.08,,,,0.28
HD 238914 b,5.7,0.56,527.24,,,,-0.25
HD 240210 b,1.16,0.15,142.86,,,,-0.18
HD 240237 b,1.92,0.4,958.16,,,,-0.25
HD 24040 b,4.92,0.04,46.68,,,,0.19
HD 24064 b,1.29,0.35,302.86,,,,-0.49
HD 24085 b,0.034,0.22,54.99,,,,
HD 25015 b,6.19,0.39,37.47,,,,0.04
HD 25171 b,2.971,0.042,55.7,,,,-0.12
HD 2638 b,0.04,0,55.05,,,,0.13
HD 2685 b,0.0568,0.091,197.98,2061,371.8611,16.141,0.02
HD 26965 b,,0.04,5.04,,,,-0.42
HD 27442 b,1.271,0.06,18.28,,,,0.42
HD 27631 b,3.242,0.141,50.36,,,,-0.12
HD 27894 b,0.125,0.047,43.88,,,,0.3
HD 27894 c,0.198,0.015,43.88,,,,0.3
HD 27894 d,5.448,0.389,43.88,,,,0.3
HD 28185 b,1.02,0.05,39.43,,,,0.23
HD 28254 b,2.15,0.81,54.7,,,,0.06
HD 285507 b,0.06,0.09,45.09,,,,0.13
HD 285968 b,0.066,0,9.47,450,,,0.15
HD 28678 b,1.18,0.149,190.92,,,,
HD 29021 b,2.28,0.459,31.02,,,,-0.24
HD 290327 b,3.43,0.08,56.52,,,,-0.14
HD 2952 b,1.23,0.13,110.45,,,,0
HD 30177 b,3.704,0.162,55.68,,,,0.39
HD 30177 c,9.89,0.22,55.68,,,,0.39
HD 30562 b,2.34,0.76,26.18,,,,0.2
HD 30669 b,2.69,0.18,57.1,,,,0.13
HD 30856 b,1.85,0.061,131.7,,,,
HD 31253 b,1.26,0.3,58.24,,,,0.17
HD 31527 b,0.1254,0.1,38.57,,,,-0.17
HD 31527 c,0.2663,0.04,38.57,,,,-0.17
HD 31527 d,0.8098,0.24,38.57,,,,-0.17
HD 3167 b,0.0186,,47.36,1669,,1.7,-0.02
HD 3167 c,0.1841,,47.36,531,,2.86,-0.02
HD 3167 d,0.07757,0.36,47.36,,,,-0.02
HD 32518 b,0.59,0.01,122.55,,,,-0.15
HD 32963 b,3.41,0.07,38.12,,,,0.11
HD 330075 b,0.04,0,45.36,,,,0.05
HD 33142 b,1.07,0.066,121.8,,,,
HD 33142 c,,0.05,121.8,,,,
HD 33283 b,0.1508,0.399,90.1,,,,0.35
HD 33564 b,1.1,0.34,20.97,,,,-0.12
HD 33844 b,1.6,0.15,106.1,,,,0.27
HD 33844 c,2.24,0.13,106.1,,,,0.27
HD 34445 b,2.07,0.27,46.15,,,,0.18
HD 34445 c,0.7181,0.036,46.15,,,,0.18
HD 34445 d,0.4817,0.027,46.15,,,,0.18
HD 34445 e,0.2687,0.09,46.15,,,,0.18
HD 34445 f,1.543,0.031,46.15,,,,0.18
HD 34445 g,6.36,0.032,46.15,,,,0.18
HD 35759 b,0.389,0.389,72.5,,,,0.04
HD 3651 b,0.295,0.645,11.14,,,,
HD 37124 b,0.53364,0.054,31.69,,,,-0.44
HD 37124 c,1.71,0.125,31.69,,,,-0.44
HD 37124 d,2.807,0.16,31.69,,,,-0.44
HD 37605 b,0.277,0.6745,46.85,,,,0.27
HD 37605 c,3.74,0.03,46.85,,,,0.27
HD 38283 b,1.02,0.41,38.1,,,,-0.18
HD 38529 b,0.1294,0.28,42.41,,,,
HD 38529 c,3.64,0.3407,42.41,,,,
HD 38801 b,1.623,0.017,91.68,,,,0.25
HD 39091 b,3.1,0.637,18.28,,,,0.08
HD 39855 b,0.041,0.14,23.28,,,,
HD 40307 b,0.0468,0.2,12.94,,,,-0.31
HD 40307 c,0.0799,0.06,12.94,,,,-0.31
HD 40307 d,0.1321,0.07,12.94,,,,-0.31
HD 40307 f,0.247,0.02,12.94,,,,-0.31
HD 40307 g,0.6,0.29,12.94,,,,-0.31
HD 40956 b,1.4,0.24,116.99,,,,0.14
HD 40979 b,0.85,0.25,34.12,,,,0.2
HD 41004 A b,,0.74,43.03,,,,-0.09
HD 41004 B b,,0.081,43.03,,,,
HD 4113 b,1.28,0.903,41.92,,,,0.2
HD 42012 b,1.67,0.2,36.84,,,,-0.09
HD 4203 b,1.17,0.52,81.57,,,,0.4
HD 4203 c,6.95,0.24,81.57,,,,0.4
HD 4208 b,1.662,0.042,34.23,,,,-0.28
HD 42618 b,0.554,0.19,24.35,337,,,-0.09
HD 4308 b,0.12,0,22.03,,,,-0.35
HD 4313 b,1.157,0.147,136.82,,,,
HD 43197 b,0.92,0.83,56.3,,,,0.4
HD 43691 b,0.238,0.0796,85.81,,,,0.33
HD 44219 b,1.19,0.61,50.4,,,,0.03
HD 45184 b,0.0644,0.07,21.88,,,,0.04
HD 45184 c,0.11,0.07,21.88,,,,0.04
HD 45350 b,1.92,0.778,46.94,,,,0.29
HD 45364 b,0.6813,0.1684,34.39,,,,-0.17
HD 45364 c,0.8972,0.0974,34.39,,,,-0.17
HD 45652 b,0.237,0.607,34.89,,,,0.26
HD 46375 b,0.0398,0.063,29.58,,,,0.24
HD 47186 b,0.05,0.04,37.5,,,,0.24
HD 47186 c,2.395,0.249,37.5,,,,0.24
HD 4732 b,1.19,0.13,54.87,,,,0.01
HD 4732 c,4.6,0.23,54.87,,,,0.01
HD 47366 b,1.28,0.06,84.56,,,,-0.07
HD 47366 c,1.97,0.1,84.56,,,,-0.07
HD 47536 b,1.93,0.2,122.95,,,,0.69
HD 48265 b,1.814,0.211,90.78,,,,0.3
HD 4917 b,1.167,0.066,205.45,,,,
HD 49674 b,0.06,0.09,43.09,,,,0.32
HD 50499 b,3.833,0.266,46.35,,,,0.26
HD 50499 c,9.02,0,46.35,,,,0.26
HD 50554 b,2.353,0.501,31.19,,,,-0.04
HD 51608 b,0.1059,0.09,34.83,,,,-0.07
HD 51608 c,0.3809,0.14,34.83,,,,-0.07
HD 52265 b,0.52,0.27,30.01,,,,
HD 5319 b,1.57,0.092,121.83,,,,
HD 5319 c,1.93,0.183,121.83,,,,
HD 55696 b,3.18,0.705,78.15,,,,0.37
HD 5583 b,0.53,0.076,221,,,,-0.5
HD 5608 b,1.911,0.056,58.21,,,,
HD 564 b,1.2,0.096,53.6,,,,-0.2
HD 5891 b,0.64,0.07,285.75,,,,-0.37
HD 59686 A b,1.086,0.05,96.8,,,,0.15
HD 60532 b,0.77,0.26,25.99,,,,-0.26
HD 60532 c,1.6,0.03,25.99,,,,-0.26
HD 62509 b,1.64,0.02,10.34,,,,0.07
HD 63454 b,0.04,0,37.73,,,,0.1
HD 63765 b,0.94,0.24,32.57,,,,-0.16
HD 64114 b,0.246,0.12,31.55,,,,
HD 6434 b,0.14,0.17,42.41,,,,-0.55
HD 65216 b,1.301,0.27,35.16,,,,
HD 65216 c,5.75,0.17,35.16,,,,
HD 66141 b,1.2,0.07,68.16,,,,-0.323
HD 66428 b,3.467,0.493,53.36,,,,0.23
HD 67087 b,1.08,0.17,76.69,,,,0.25
HD 67087 c,3.86,0.76,76.69,,,,0.25
HD 6718 b,3.55,0.1,51.42,,,,-0.03
HD 68402 b,2.18,0.03,78.61,,,,0.29
HD 68988 b,0.07,0.12,60.95,,,,0.35
HD 69830 b,0.0785,0.1,12.56,,,,-0.05
HD 69830 c,0.186,0.13,12.56,,,,-0.05
HD 69830 d,0.63,0.07,12.56,,,,-0.05
HD 70573 b,1.76,0.4,45.7,,,,-0.18
HD 70642 b,3.318,0.175,29.3,,,,0.22
HD 7199 b,1.36,0.19,36.19,,,,0.32
HD 72490 b,1.88,0.124,126.79,,,,
HD 72659 b,4.75,0.22,51.97,,,,-0.02
HD 72892 b,0.228,0.423,69.87,,,,0.25
HD 73267 b,2.187,0.23,54.91,,,,0.07
HD 73526 b,0.65,0.19,97.51,,,,0.22
HD 73526 c,1.03,0.28,97.51,,,,0.22
HD 73534 b,2.99,0.126,83.53,,,,
HD 74156 b,0.292,0.627,64.6,,,,0.11
HD 74156 c,3.85,0.432,64.6,,,,0.11
HD 7449 b,2.38,0.92,38.71,,,,
HD 75289 b,0.05,0.03,29.14,,,,0.26
HD 75784 b,1.032,0.097,85.64,,,,
HD 75784 c,8.4,0.489,85.64,,,,
HD 75898 b,1.191,0.11,78.23,,,,0.28
HD 76700 b,0.05,0.09,60.99,,,,0.31
HD 76920 b,1.149,0.856,184.8,,,,-0.11
HD 77338 b,0.06,0.09,46,,,,0.32
HD 7924 b,0.06,0.06,17,,,,-0.21
HD 7924 c,0.1134,0.098,17,584,,,-0.21
HD 7924 d,0.1551,0.21,17,499,,,-0.21
HD 79498 b,2.98,0.575,49.02,,,,0.18
HD 80606 b,,0.93,66.6,,1392.0954,11.994,0.35
HD 80653 b,0.0166,,109.86,,5.6,1.613,
HD 81040 b,1.94,0.53,34.47,,,,-0.03
HD 81688 b,0.81,0,85.92,,,,-0.359
HD 82886 b,1.58,0.07,127.52,,,,-0.31
HD 82943 b,1.18306,0.162,27.61,,534.25,,0.3
HD 82943 c,0.74345,0.3663,27.61,,622.603,,0.3
HD 8326 b,0.533,0.2,30.71,,,,
HD 83443 b,0.04,0.01,40.95,,,,0.35
HD 8535 b,2.45,0.15,52.5,,,,0.06
HD 85390 b,1.373,0.5,33.56,,,,
HD 85512 b,0.26,0.11,11.28,,,,-0.26
HD 8574 b,0.76,0.3,44.88,,,,0.01
HD 86081 b,0.0346,0.0119,104.24,,,,0.22
HD 86226 b,2.84,0.15,45.74,,,,0.05
HD 86264 b,2.86,0.7,67.94,,,,0.202
HD 8673 b,3.02,0.723,37.9,,,,0.14
HD 86950 b,2.72,0.17,211.1,,,,0.04
HD 87646 b,0.117,0.05,135.17,,,,-0.17
HD 87883 b,3.58,0.53,18.3,,,,0.05
HD 88133 b,0.0479,0.031,73.77,,,,
HD 89307 b,3.27,0.2,32.04,,,,-0.13
HD 89345 b,0.1066,0.22,132.8,1089,34.9613,7.398,0.421
HD 89744 b,0.917,0.677,38.68,,,,
HD 90156 b,0.25,0.31,21.96,,,,-0.24
HD 9174 b,2.2,0.12,81.68,,,,0.39
HD 92788 b,0.97,0.35,34.69,,,,0.27
HD 92788 c,10.5,0.46,34.69,,,,0.27
HD 92987 b,9.62,0.21,43.59,,,,-0.08
HD 93083 b,0.477,0.14,28.54,,,,0.15
HD 9446 b,0.189,0.2,50.42,,,,0.09
HD 9446 c,0.654,0.06,50.42,,,,0.09
HD 94834 b,2.74,0.14,98.43,,,,
HD 95086 b,55.7,,86.44,1000,1589,,
HD 95089 b,1.36,0.119,137.46,,,,
HD 95089 c,3.33,0.284,137.46,,,,
HD 95127 b,1.28,0.11,689.75,,,,-0.18
HD 95872 b,5.15,0.06,72.37,,,,0.41
HD 96063 b,1.11,0.17,140.62,,,,
HD 96127 b,1.42,0.3,597.42,,,,-0.24
HD 96167 b,1.332,0.685,85.51,,,,
HD 97048 b,130,,185,,794.575,,
HD 97658 b,,0.06,21.58,,9.5349,2.354,-0.3
HD 98219 b,1.26,0.079,114.07,,,,
HD 98649 b,6.57,0.86,42.22,,,,0.05
HD 98736 b,1.864,0.226,32.48,,,,0.36
HD 99109 b,1.11,0.09,54.88,,,,0.35
HD 99492 b,0.12,0.25,18.21,,,,0.24
HD 99706 b,1.98,0.25,147.21,,,,
HD 99706 c,,0.411,147.21,,,,
HIP 105854 b,0.81,0.02,78.8,,,,0.31
HIP 107773 b,0.72,0.09,103.63,,,,0.03
HIP 109384 b,1.134,0.549,56.2,,,,-0.26
HIP 109600 b,0.706,0.163,58.6,,,,-0.12
HIP 116454 b,,0.2,62.56,,12.7132,2.466,-0.16
HIP 12961 b,0.25,0.17,23.39,,,,-0.14
HIP 14810 b,0.0696,0.14399,50.55,,,,0.24
HIP 14810 c,0.549,0.1566,50.55,,,,0.24
HIP 14810 d,1.94,0.185,50.55,,,,0.24
HIP 35173 b,0.217,0.16,33.19,,,,
HIP 41378 b,,,106.61,,,,
HIP 41378 c,,,106.61,,,,
HIP 41378 d,,,106.61,,,,
HIP 41378 e,,,106.61,,,,
HIP 41378 f,,,106.61,,,,
HIP 5158 b,0.89,0.52,51.68,,,,0.1
HIP 5158 c,7.7,0.14,51.68,,,,0.1
HIP 54373 b,0.063,0.2,18.73,,,,
HIP 54373 c,0.099,0.2,18.73,,,,
HIP 57274 b,0.07,0.19,25.88,,,,0.01
HIP 57274 c,0.178,0.05,25.88,,,,0.01
HIP 57274 d,1.01,0.27,25.88,,,,0.01
HIP 63242 b,0.565,0.23,157.16,,,,-0.31
HIP 65407 b,0.177,0.14,55.5,,,,0.25
HIP 65407 c,0.316,0.12,55.5,,,,0.25
HIP 65426 b,92,,111.4,1500,2860.47,16.814,
HIP 65891 b,2.81,0.13,136.05,,,,0.16
HIP 67537 b,4.91,0.59,112.6,,,,0.15
HIP 67851 b,0.46,0.05,65.96,,,,0
HIP 67851 c,3.82,0.17,65.96,,,,0
HIP 70849 b,20.25,0.715,24.07,,,,
HIP 71135 b,0.335,0.21,32.36,,,,
HIP 74890 b,2.1,0.07,91.49,,,,0.2
HIP 78530 b,740,,156.7,2700,7300,,
HIP 79098 AB b,345,,146.3,2450,6515.515,,
HIP 79431 b,0.36,0.29,14.54,,,,
HIP 8541 b,2.8,0.16,168.63,,,,-0.15
HIP 91258 b,0.06,0.02,45.95,,,,0.23
HIP 97233 b,2.55,0.61,102.58,,,,0.29
HN Peg b,773,,18.13,,6991.57,11.777,-0.02
HR 2562 b,20.3,,34.04,1200,9534.9,12.442,0.02
HR 5183 b,18,0.84,31.49,171,,,0.1
HR 810 b,0.92,0.14,17.33,,,,0.16
HR 858 b,0.048,0.3,31.99,1572,,2.085,-0.14
HR 858 c,0.0674,0.19,31.99,1326,,1.939,-0.14
HR 858 d,0.1027,0.28,31.99,1075,,2.164,-0.14
HR 8799 b,68,,39.4,,2000,13,-0.5
HR 8799 c,38,,39.4,,3000,13,-0.5
HR 8799 d,24,,39.4,,3000,13,-0.5
HR 8799 e,16.4,0.15,39.4,1150,3178.3,13.115,-0.5
HU Aqr AB b,3.6,0,192.2,,,,
